KEYID,Height,NFloor,MainUse,TFA,FA_R,FA_O,FA_C,FA_H,FA_L,Str,TRA,RA_G,RA_PV,RA_O,Shape_Leng,Age,Shape_Length,Shape_Area,uq_visitors,t_visits,stride_avg,tile_sqm,GFArea,KFArea,footsteps,EnergyDaily_J,EnergyDaily_kWh,EnergyYearly_kWh,Coverage_pct,KFloor_10p,KFloor_25p,KFloor_50p,KFloor_75p,KFloor_90p,Energy_10p_kWh,Energy_25p_kWh,Energy_50p_kWh,Energy_75p_kWh,Energy_90p_kWh
176,7,2,Resid,75.5434033,50,50,0,0,0,W,37.77170165,0,0,100,25.77431492,1979,25.77036707,37.76004706,2,2,1.2,0.25,37.77170165,37.77170165,62,314.7641804,8.74345E-05,0.031913591,100,3.777170165,9.442925413,18.88585083,28.32877624,33.99453149,8.74345E-06,2.18586E-05,4.37172E-05,6.55759E-05,7.8691E-05
177,7,2,Resid,52.32105739,100,0,0,0,0,W,26.1605287,0,0,100,20.68189403,2000,20.67885358,26.15273748,0,1,1.2,0.25,26.1605287,26.1605287,22,109.0022029,3.02784E-05,0.011051612,100,2.61605287,6.540132174,13.08026435,19.62039652,23.54447583,3.02784E-06,7.5696E-06,1.51392E-05,2.27088E-05,2.72506E-05
178,24.5,7,Office,869.6618381,0,100,0,0,0,RC,124.2374054,0,0,100,50.34981198,1974,50.34224885,124.1998634,19,20,1.2,0.25,124.2374054,124.2374054,2070,10353.11712,0.002875866,1.049691041,100,12.42374054,31.05935136,62.11870272,93.17805408,111.8136649,0.000287587,0.000718966,0.001437933,0.002156899,0.002588279
179,21,6,Resid,1083.722483,0,0,100,0,0,RC,180.6204139,0,0,100,60.87258097,1982,60.86341791,180.5659624,4,4,1.2,0.25,180.6204139,180.6204139,602,3010.340232,0.000836206,0.305215051,100,18.06204139,45.15510348,90.31020695,135.4653104,162.5583725,8.36206E-05,0.000209051,0.000418103,0.000627154,0.000752585
180,24.5,7,Office,1150.85745,0,100,0,0,0,RC,164.4082072,0,0,100,53.74823467,1995,53.74017509,164.3585282,16,16,1.2,0.25,164.4082072,164.4082072,2192,10960.54715,0.003044596,1.111277697,100,16.44082072,41.1020518,82.2041036,123.3061554,147.9673865,0.00030446,0.000761149,0.001522298,0.002283447,0.002740137
181,21,6,Com,524.434823,0,100,0,0,0,RC,87.40580383,0,0,100,37.40002759,1991,37.39438632,87.37945175,7,7,1.2,0.25,87.40580383,87.40580383,510,2549.335945,0.000708149,0.258474339,100,8.740580383,21.85145096,43.70290191,65.55435287,78.66522344,7.08149E-05,0.000177037,0.000354074,0.000531112,0.000637334
182,10.5,3,Resid,84.31321163,0,100,0,0,0,RC,28.10440388,0,0,100,21.21609627,1993,21.21279934,28.09567225,4,4,1.2,0.25,28.10440388,28.10440388,94,468.4067313,0.000130113,0.047491238,100,2.810440388,7.026100969,14.05220194,21.07830291,25.29396349,1.30113E-05,3.25282E-05,6.50565E-05,9.75847E-05,0.000117102
183,7,2,Resid,96.47340422,50,50,0,0,0,W,48.23670211,0,0,100,27.89432291,1997,27.8900789,48.2220308,6,6,1.2,0.25,48.23670211,48.23670211,242,1205.917553,0.000334977,0.122266641,100,4.823670211,12.05917553,24.11835106,36.17752658,43.4130319,3.34977E-05,8.37443E-05,0.000167489,0.000251233,0.000301479
184,17.5,5,Office,150.9292566,0,60,40,0,0,S,30.18585133,0,0,100,23.19920096,2010,23.19568571,30.17680956,3,3,1.2,0.25,30.18585133,30.18585133,76,377.3231416,0.000104812,0.038256374,100,3.018585133,7.546462831,15.09292566,22.63938849,27.16726619,1.04812E-05,2.6203E-05,5.2406E-05,7.8609E-05,9.43308E-05
185,24.5,7,Office,1742.715176,0,87,13,0,0,RC,248.9593109,0,0,100,67.07716033,1996,67.06709181,248.8843138,27,30,1.2,0.25,248.9593109,248.9593109,6224,31119.91386,0.008644421,3.155213489,100,24.89593109,62.23982773,124.4796555,186.7194832,224.0633798,0.000864442,0.002161105,0.00432221,0.006483315,0.007779978
186,21,6,Office,523.1376228,10,80,10,0,0,RC,87.18960381,0,0,100,37.39799588,1979,37.39232636,87.16319648,34,36,1.2,0.25,87.18960381,87.18960381,2616,13078.44057,0.0036329,1.326008558,100,8.718960381,21.79740095,43.5948019,65.39220285,78.47064343,0.00036329,0.000908225,0.00181645,0.002724675,0.00326961
187,7,2,Resid,69.51220304,0,100,0,0,0,W,34.75610152,0,0,100,27.88797044,1984,27.88377682,34.74603405,7,7,1.2,0.25,34.75610152,34.75610152,202,1013.719628,0.000281589,0.102779907,100,3.475610152,8.68902538,17.37805076,26.06707614,31.28049137,2.81589E-05,7.03972E-05,0.000140794,0.000211192,0.00025343
189,21,6,Office,954.1032417,0,62,38,0,0,RC,159.017207,0,0,100,51.69041039,1999,51.68269313,158.9696384,18,25,1.2,0.25,159.017207,159.017207,3312,16564.29239,0.004601192,1.679435201,100,15.9017207,39.75430174,79.50860348,119.2629052,143.1154863,0.000460119,0.001150298,0.002300596,0.003450894,0.004141073
190,10.5,3,Office,116.9716551,0,0,100,0,0,RC,38.99055171,0,0,100,29.62572202,1978,29.62105484,38.97822713,2,2,1.2,0.25,38.99055171,38.99055171,64,324.9212643,9.02559E-05,0.032943406,100,3.899055171,9.747637928,19.49527586,29.24291378,35.09149654,9.02559E-06,2.2564E-05,4.5128E-05,6.76919E-05,8.12303E-05
191,14,4,Office,291.9728128,100,0,0,0,0,S,72.9932032,0,0,100,40.53670529,1997,40.53055882,72.97142456,4,5,1.2,0.25,72.9932032,72.9932032,304,1520.691733,0.000422414,0.154181245,100,7.29932032,18.2483008,36.4966016,54.7449024,65.69388288,4.22414E-05,0.000105604,0.000211207,0.000316811,0.000380173
192,38.5,11,Resid,1755.885527,43,4,53,0,0,RC,159.625957,0,0,100,50.74830171,2005,50.74058509,159.5775024,40,42,1.2,0.25,159.625957,159.625957,5586,27934.54247,0.007759595,2.832252223,100,15.9625957,39.90648924,79.81297849,119.7194677,143.6633613,0.00077596,0.001939899,0.003879798,0.005819696,0.006983636
193,14,4,Office,142.7860063,16,83,1,0,0,S,35.69650156,0,0,100,27.24058028,1988,27.23650384,35.68577184,7,7,1.2,0.25,35.69650156,35.69650156,208,1041.147962,0.000289208,0.105560835,100,3.569650156,8.924125391,17.84825078,26.77237617,32.12685141,2.89208E-05,7.23019E-05,0.000144604,0.000216906,0.000260287
194,14,4,Office,325.1192143,28,57,15,0,0,RC,81.27980357,0,0,100,43.86910171,1971,43.86243365,81.25560583,8,8,1.2,0.25,81.27980357,81.27980357,542,2709.326786,0.000752591,0.274695632,100,8.127980357,20.31995089,40.63990178,60.95985268,73.15182321,7.52591E-05,0.000188148,0.000376295,0.000564443,0.000677332
195,7,2,Others,105.1378046,0,100,0,0,0,S,52.5689023,0,0,100,30.4152675,1989,30.41057584,52.55281371,4,4,1.2,0.25,52.5689023,52.5689023,176,876.1483717,0.000243375,0.08883171,100,5.25689023,13.14222558,26.28445115,39.42667673,47.31201207,2.43375E-05,6.08436E-05,0.000121687,0.000182531,0.000219037
196,7,2,Office,342.495015,0,100,0,0,0,S,171.2475075,0,0,100,54.47646822,1998,54.46816659,171.1948362,16,16,1.2,0.25,171.2475075,171.2475075,2284,11416.5005,0.00317125,1.157506301,100,17.12475075,42.81187687,85.62375375,128.4356306,154.1227567,0.000317125,0.000792813,0.001585625,0.002378438,0.002854125
197,21,6,Office,538.7970722,0,81,19,0,0,RC,89.79951203,0,0,100,38.21566168,1986,38.20977992,89.77154085,17,17,1.2,0.25,89.79951203,89.79951203,1272,6360.798769,0.001766889,0.64491432,100,8.979951203,22.44987801,44.89975601,67.34963402,80.81956083,0.000176689,0.000441722,0.000883444,0.001325166,0.0015902
198,17.5,5,Office,404.3182823,44,55,1,0,0,RC,80.86365646,0,0,100,39.2028477,1984,39.19692856,80.8393317,5,5,1.2,0.25,80.86365646,80.86365646,336,1684.65951,0.000467961,0.170805756,100,8.086365646,20.21591412,40.43182823,60.64774235,72.77729082,4.67961E-05,0.00011699,0.00023398,0.000350971,0.000421165
199,28,8,Hotel,1645.906182,0,100,-100,100,0,RC,205.7382727,0,0,100,60.69021967,2007,60.68092158,205.6754375,12,13,1.2,0.25,205.7382727,205.7382727,2228,11144.15644,0.003095599,1.129893639,100,20.57382727,51.43456819,102.8691364,154.3037046,185.1644455,0.00030956,0.0007739,0.0015478,0.002321699,0.002786039
200,24.5,7,Office,727.8229318,0,100,0,0,0,RC,103.9747045,0,0,100,49.83421084,1993,49.82669893,103.9443588,5,5,1.2,0.25,103.9747045,103.9747045,434,2166.139678,0.000601705,0.219622495,100,10.39747045,25.99367614,51.98735227,77.98102841,93.57723409,6.01705E-05,0.000150426,0.000300853,0.000451279,0.000541535
201,14,4,Office,635.4874278,0,100,0,0,0,RC,158.8718569,0,0,100,55.96283046,2000,55.95427609,158.8236236,19,25,1.2,0.25,158.8718569,158.8718569,3310,16549.15177,0.004596987,1.67790011,100,15.88718569,39.71796424,79.43592847,119.1538927,142.9846713,0.000459699,0.001149247,0.002298493,0.00344774,0.004137288
202,14,4,Resid,226.3286099,50,50,0,0,0,RC,56.58215248,0,0,100,33.7876569,1987,33.78250503,56.56467899,20,24,1.2,0.25,56.58215248,56.58215248,1132,5658.215248,0.001571726,0.573680157,100,5.658215248,14.14553812,28.29107624,42.43661436,50.92393723,0.000157173,0.000392932,0.000785863,0.001178795,0.001414554
203,7,2,Resid,157.0855069,0,100,0,0,0,W,78.54275344,0,0,100,37.2834731,1984,37.27780064,78.51931681,29,30,1.2,0.25,78.54275343,78.54275343,1964,9817.844179,0.002727179,0.995420313,100,7.854275343,19.63568836,39.27137672,58.90706508,70.68847809,0.000272718,0.000681795,0.001363589,0.002045384,0.002454461
204,24.5,7,Office,871.396088,0,0,100,0,0,RC,124.4851554,0,0,100,50.26975196,2001,50.26198213,124.4474176,10,10,1.2,0.25,124.4851554,124.4851554,1038,5186.881476,0.0014408,0.52589215,100,12.44851554,31.12128886,62.24257772,93.36386658,112.0366399,0.00014408,0.0003602,0.0007204,0.0010806,0.00129672
205,17.5,5,Office,491.0785189,0,100,0,0,0,RC,98.21570379,0,0,100,43.49966804,1988,43.49308699,98.18644075,14,15,1.2,0.25,98.21570379,98.21570379,1228,6138.481487,0.001705134,0.622373817,100,9.821570379,24.55392595,49.10785189,73.66177784,88.39413341,0.000170513,0.000426283,0.000852567,0.00127885,0.00153462
